type,price,pnl,time
open_buy,1.16327,,2025-07-21 09:00:00
close_buy,1.16859,-0.43999999999977396,2025-07-22 04:15:00
open_sell,1.16859,,2025-07-22 04:15:00
close_sell,1.16983,-0.08000000000008001,2025-07-22 12:00:00
open_buy,1.16983,,2025-07-22 12:00:00
close_buy,1.17363,0.05999999999994898,2025-07-23 05:30:00
open_sell,1.17363,,2025-07-23 05:30:00
close_sell,1.1756199999999999,-1.1399999999999189,2025-07-23 20:00:00
open_buy,1.1756199999999999,,2025-07-23 20:00:00
close_buy,1.1761,-0.280000000000058,2025-07-24 10:45:00
open_sell,1.1761,,2025-07-24 10:45:00
close_sell,1.17649,-1.1600000000000499,2025-07-24 19:30:00
open_buy,1.17649,,2025-07-24 19:30:00
close_buy,1.17442,0.16000000000016001,2025-07-25 01:00:00
open_sell,1.17442,,2025-07-25 01:00:00
close_sell,1.17426,1.020000000000021,2025-07-25 11:45:00
open_buy,1.17426,,2025-07-25 11:45:00
close_buy,1.17344,-0.360000000000138,2025-07-25 12:45:00
open_sell,1.17344,,2025-07-25 12:45:00
close_sell,1.17412,0.7199999999998319,2025-07-25 22:00:00
open_buy,1.17412,,2025-07-25 22:00:00
close_buy,1.17175,-4.4200000000000905,2025-07-28 09:15:00
open_sell,1.17175,,2025-07-28 09:15:00
close_sell,1.15444,-0.05999999999994898,2025-07-30 00:45:00
open_buy,1.15444,,2025-07-30 00:45:00
close_buy,1.15562,0.380000000000269,2025-07-30 11:30:00
open_sell,1.15562,,2025-07-30 11:30:00
close_sell,1.1436,0.0,2025-07-31 08:45:00
open_buy,1.1436,,2025-07-31 08:45:00
close_buy,1.1411,0.48000000000003595,2025-07-31 16:30:00
open_sell,1.1411,,2025-07-31 16:30:00
close_sell,1.14326,0.10000000000021103,2025-08-01 09:30:00
open_buy,1.14326,,2025-08-01 09:30:00
close_buy,1.1406100000000001,-0.8999999999996788,2025-08-01 13:15:00
open_sell,1.1406100000000001,,2025-08-01 13:15:00
close_sell,1.1545,-3.1000000000003247,2025-08-01 15:45:00
open_buy,1.1545,,2025-08-01 15:45:00
close_buy,1.15609,-0.08000000000008001,2025-08-04 11:15:00
open_sell,1.15609,,2025-08-04 11:15:00
close_sell,1.15774,1.5999999999998238,2025-08-04 16:30:00
open_buy,1.15774,,2025-08-04 16:30:00
close_buy,1.15674,0.5399999999999849,2025-08-04 22:00:00
open_sell,1.15674,,2025-08-04 22:00:00
close_sell,1.15832,-0.16000000000016001,2025-08-05 02:45:00
open_buy,1.15832,,2025-08-05 02:45:00
close_buy,1.15549,-1.040000000000152,2025-08-05 06:45:00
open_sell,1.15549,,2025-08-05 06:45:00
close_sell,1.15789,0.459999999999905,2025-08-05 18:45:00
open_buy,1.15789,,2025-08-05 18:45:00
close_buy,1.15689,0.5999999999999339,2025-08-06 05:15:00
open_sell,1.15689,,2025-08-06 05:15:00
close_sell,1.15771,0.22000000000010897,2025-08-06 08:15:00
open_buy,1.15771,,2025-08-06 08:15:00
close_buy,1.16505,0.42000000000008697,2025-08-07 15:45:00
open_sell,1.16505,,2025-08-07 15:45:00
close_sell,1.16644,-0.48000000000003595,2025-08-08 01:00:00
open_buy,1.16644,,2025-08-08 01:00:00
close_buy,1.16458,1.100000000000101,2025-08-08 09:00:00
open_sell,1.16458,,2025-08-08 09:00:00
close_sell,1.16599,0.7399999999999629,2025-08-08 18:30:00
open_buy,1.16599,,2025-08-08 18:30:00
close_buy,1.16479,0.16000000000016001,2025-08-11 02:15:00
open_sell,1.16479,,2025-08-11 02:15:00
close_sell,1.1671,-0.459999999999905,2025-08-11 06:15:00
